,LocationName,COPD,Cholesterol Screening,Chronic Kidney Disease,Coronary Heart Disease,Diabetes,High Blood Pressure,High Cholesterol,Obesity,Physical Health,Physical Inactivity,Stroke,Taking BP Medication,TotalPopulation,ParkCount,County,people_park_count_ratio
22,Shady Shores,5.6,84.5,2.4,5.1,8.8,30.6,31.5,32.0,10.3,23.2,2.7,55.4,2612.0,1,Harris,2612.0
23,Southlake,3.8,87.0,2.0,3.9,6.8,25.5,31.8,28.9,7.6,16.9,2.1,54.2,26575.0,1,Harris,26575.0
24,The Colony,5.3,85.0,2.4,4.8,9.5,30.6,31.2,32.3,10.2,24.3,2.7,55.7,36361.0,27,Harris,1346.7037037037037
25,Trophy Club,4.3,86.3,2.1,4.2,7.3,27.8,30.7,29.0,8.2,18.7,2.2,54.2,8024.0,5,Harris,1604.8
26,Cedar Park,4.8,85.5,2.3,4.4,8.1,28.1,31.4,29.6,9.6,21.4,2.5,55.8,54975.0,50,Williamson,1099.5
27,Florence,6.1,83.3,2.7,5.3,9.9,30.6,32.5,34.2,11.9,27.3,2.9,56.3,1136.0,1,Williamson,1136.0
28,Georgetown,5.2,84.4,2.4,4.6,8.4,29.3,31.8,32.2,10.4,23.8,2.6,56.4,47489.0,45,Williamson,1055.3111111111111
29,Hutto,5.3,84.9,2.6,4.8,9.9,30.9,31.7,34.0,10.9,25.8,2.8,57.2,15838.0,16,Williamson,989.875
30,Jarrell,5.1,84.5,2.4,4.6,8.7,28.6,31.8,32.1,10.2,23.9,2.5,55.2,1031.0,1,Williamson,1031.0
31,Leander,5.3,84.7,2.4,4.7,8.7,29.0,31.7,31.3,10.4,23.4,2.6,55.8,28263.0,10,Williamson,2826.3
32,Round Rock,5.0,85.1,2.5,4.6,9.2,29.7,31.6,32.0,10.3,24.3,2.7,56.9,100603.0,210,Williamson,479.0619047619048
33,Taylor,6.8,82.6,3.0,5.7,11.7,33.0,32.7,36.8,13.7,32.2,3.4,57.9,15207.0,16,Williamson,950.4375
34,Houston,6.3,83.15,3.3,5.800000000000001,13.2,33.75,33.7,35.45,14.1,29.2,3.65,63.95,2135162.0,95,Harris,22475.38947368421
35,Dallas,6.8,83.5,3.5,6.1,14.0,34.1,30.6,34.5,14.0,32.9,4.0,60.5,1197688.0,3,Harris,399229.3333333333
36,Austin,4.8,84.5,2.7,4.7,9.5,26.9,30.5,25.2,10.1,21.5,2.7,54.8,806804.0,5,Williamson,161360.8
